Spc_Code,Spc_Name,Family
0010,HAGFISHES (NS),"MYXINIFORMES (HYPOT.,MARISP.(CLASS))"
0011,HAGFISHES (NS),MYXINIDAE
0012,"HAGFISH, ATLANTIC",MYXINE GLUTINOSA
0014,LAMPREYS (NS),PETROMYZONTIFORMES(HYPEROARTIA)(CLASS)
0015,"LAMPREY, SEA",PETROMYZON MARINUS
0017,CARTILAGINOUS FISHES,SELACHII (CHONDRICHTHYES) (CLASS)
0018,"SHARKS,DOGFISH (NS)",SQUALIFORMES (PLEUROTREMA) (ORDER)
0019,"SHARKS,SLEEPER (NS)",DALATIIDAE
0020,"SHARK,GREENLAND",SOMNIOSUS MICROCEPHALUS
0023,DOGFISH SHARKS (NS),SQUALIDAE
0024,"DOGFISH,SPINY",SQUALUS ACANTHIAS
0025,DOGFISH (NCN)  ETM.SPI.,ETMOPTERUS SPINAX
0026,"DOGFISH,ETMOPTERUS",ETMOPTERUS PRINCEPS
0027,"DOGFISH,BLACK",CENTROSCYLLIUM FABRICII
0028,"SHARK,PORTUGUESE",CENTROSCYMNUS COELOLEPIS
0031,"SHARKS,ANGEL (NS)",SQUATINIDAE
0032,"SHARK, ATLANTIC ANGEL",SQUATINA DUMERIL
0035,"SHARKS, COW (NS)",HEXANCHIFORMES (ORDER)
0036,"SHARKS, COW (NS)",HEXANCHIDAE
0037,"SHARK, SEVEN GILLED",HEPTRANCHIAS PERLO
0040,"SHARKS,SAND (NS)",LAMNIFORMES (ORDER)
0041,"SHARKS,SAND (NS)",CARCHARIIDAE
0042,"SHARK,SAND",CARCHARIAS TAURUS
0044,"SHARKS,THRESHER (NS)",ALOPIIDAE
0045,"SHARK,THRESHER",ALOPIAS VULPINUS
0047,"SHARKS,BASKING (NS)",CETORHINIDAE
0048,"SHARK,BASKING",CETORHINUS MAXIMUS
0050,"SHARKS,MACKEREL (NS)",LAMNIDAE
0051,PORBEAGLE,LAMNA NASUS
0052,"MAKO, SHORTFIN",ISURUS OXYRINCHUS
0053,"SHARK,WHITE",CARCHARODON CARCHARIAS
0055,"SHARKS,CAT (NS)",SCYLIORHINIDAE
0056,"SHARK,DEEPSEA CAT",APRISTURUS PROFUNDORUM
0057,"DOGFISH,CHAIN",SCYLIORHINUS (SCYLLIORHINUS) RETIFER
0060,"SHARKS,REQUIEM (NS)",CARCHARHINIDAE (GALEIDAE)
0061,"SHARKS,REQUIEM (NS)",CARCHARHINUS  SP.
0062,"SHARK,WHITETIP",CARCHARHINUS LONGIMANUS
0063,"SHARK,DUSTY",CARCHARHINUS OBSCURUS
0064,"DOGFISH,SMOOTH",MUSTELUS CANIS
0065,"SHARK,BLUE",PRIONACE GLAUCA
0066,"SHARK,ATL. SHARPNOSE",RHIZOPRIONODON TERRAENOVAE
0067,"SHARK,TIGER",GALEOCERDO CUVIERI
0070,"SHARKS,HAMMERHEAD (NS)",SPHYRNIDAE
0071,"SHARK,SMOOTH HAMMERHEAD",SPHYRNA ZYGAENA
0080,"SKATES,RAYS,ETC.",RAJIFORMES (HYPOTREMATA) (ORDER)
0081,STINGRAYS (NS),DASYATIDAE (TRYGONIDAE)
0082,"STINGRAY,ROUGHTAIL",DASYATIS CENTROURA
0083,"STINGRAY,SOUTHERN",DASYATIS AMERICANA
0084,"RAY,SMOOTH BUTTERFLY",GYMNURA MICRURA
0088,SKATES (NS),RAJIDAE
0089,SKATES (NS) RAJA SP.,RAJA  SP.
0090,"SKATE,THORNY",RAJA RADIATA
0091,"SKATE,SMOOTH",RAJA SENTA
0092,"SKATE,ABYSSAL",RAJA BATHYPHILA
0093,"SKATE,LITTLE",RAJA ERINACEA
0094,"SKATE,DEEPWATER (ROUND)",RAJA FYLLAE
0095,"SKATE,ARCTIC",RAJA HYPERBOREA
0096,"SKATE,JENSEN'S",RAJA JENSENI
0097,"SKATE,BARNDOOR",RAJA LAEVIS
0098,"SKATE,WHITE",RAJA LINTEA
0099,"SKATE,SOFT",RAJA MOLLIS
0100,"SKATE, WINTER (SPOTTED)",RAJA OCELLATA
0101,"SKATE,RICHARDSON'S",RAJA RICHARDSONI
0102,"SKATE,SPINYTAIL",RAJA (BATHYRAJA) SPINICAUDA
0103,"SKATE,ROSETTE",RAJA GARMANI
0104,"SKATE, CLEARNOSE (BRIER)",RAJA EGLANTERIA
0105,SKATE (NCN)  BRE.PLU.,BREVIRAJA PLUTONIA
0106,SKATE (NCN)  DAC.ARM.,DACTYLOBATUS ARMATUS
0110,"MANTAS,DEVILFISHES",MOBULIDAE
0111,"MANTA,ATLANTIC",MANTA BIROSTRIS
0113,"RAYS,ELECTRIC (NS)",TORPEDINIFORMES (ORDER)
0114,TORPEDOES (NS),TORPEDINIDAE
0115,"TORPEDO,ATLANTIC",TORPEDO NOBILIANA
0117,CHIMAERAS (NS),CHIMAERIFORMES (HOLOCEPHALI) (ORDER)
0118,CHIMAERAS (NS),CHIMAERIDAE
0119,CHIMAERA   CHI.MON.,CHIMAERA MONSTROSA
0120,"CHIMAERA,LONGNOSE",HARRIOTTA RALEIGHANA
0121,"CHIMAERA,DEEPWATER",HYDROLAGUS AFFINIS
0122,"CHIMAERA,KNIFENOSE",RHINOCHIMAERA ATLANTICA
0125,"FISHES,BONY (NS)",PISCES (OSTEICHTHYES) (CLASS)
0131,STURGEONS (NS),ACIPENSERIFORMES (GLANIOSTOMI) (ORDER)
0132,STURGEONS (NS),ACIPENSERIDAE
0133,"STURGEON,SHORTNOSE",ACIPENSER BREVIROSTRUM
0134,"STURGEON,ATLANTIC",ACIPENSER OXYRHYNCHUS
0135,GARS (NS),LEPISOSTEIFORMES (HOLOSTEI) (ORDER)
0136,GARS (NS),LEPISOSTEIDAE
0137,"GAR,LONGNOSE",LEPISOSTEUS OSSEUS
0140,"FISHES,HERRINGLIKE",CLUPEIFORMES (ISOSPONDYLI) (ORDER)
0141,TARPONS (NS),ELOPIDAE
0142,TARPON,MEGALOPS ATLANTICUS
0143,BONEFISHES (NS),ALBULIDAE
0144,BONEFISH,ALBULA VULPES
0146,SEARSID,SEARSIIDAE
0147,"SEARSID,LEGLESS",PLATYTROCTES APUS
0149,HERRINGS (NS),CLUPEIDAE
0150,"HERRING,ATLANTIC",CLUPEA HARENGUS
0151,ALEWIFE (GASPERAUX),ALOSA PSEUDOHARENGUS
0152,"SHAD, AMERICAN",ALOSA SAPIDISSIMA
0153,"HERRING,BLUEBACK",ALOSA AESTIVALIS
0154,"SHAD,HICKORY",ALOSA MEDIOCRIS
0155,"MENHADEN, ATLANTIC",BREVOORTIA TYRANNUS
0156,"SHAD,GIZZARD",DOROSOMA CEPEDIANUM
0157,"HERRING,ROUND",ETRUMEUS SADINA
0160,ANCHOVIES (NS),ENGRAULIDAE
0161,"ANCHOVY,STRIPED",ANCHOA HEPSETUS
0162,"ANCHOVY,BAY",ANCHOA MITCHILLI
0164,SMOOTHHEADS (NS),ALEPOCEPHALIDAE
0165,"SMOOTHHEAD,AGASSIZ'S",ALEPOCEPHALUS AGASSIZII
0166,"SMOOTHHEAD,BAIRD'S",ALEPOCEPHALUS BAIRDII
0167,"HERRING,BLACK",BATHYTROCTES  SP.
0168,ATLANTIC GYMNAST,XENODERMICHTHYS (ALEPOSOMUS) COPEI
0171,"SALMON,TROUTS,ETC.",SALMONIDAE
0172,"SALMON,ATLANTIC (NS)",SALMO  SP.
0173,"SALMON,ATLANTIC",SALMO SALAR
0174,"TROUT,BROWN",SALMO TRUTTA
0175,"TROUT,RAINBOW",SALMO GAIRDNERI
0176,"TROUTS,CHAR (NS)",SALVELINUS  SP.
0177,ARCTIC CHAR,SALVELINUS ALPINUS
0178,"TROUT,BROOK",SALVELINUS FONTINALIS
0179,"TROUT,LAKE",SALVELINUS NAMAYCUSH
0180,"WHITEFISH,LAKE",COREGONUS CLUPEAFORMIS
0181,"SALMON,PINK",ONCORHYNCHUS GORBUSCHA
0182,"WHITEFISH,ROUND",PROSOPIUM CYLINDRACEUM QUADRILATERALE
0186,"SMELTS,CAPELIN (NS)",OSMERIDAE
0187,CAPELIN,MALLOTUS VILLOSUS
0188,SMELT,OSMERUS MORDAX
0190,PIKES (NS),ESOCIDAE
0191,"PIKE,NORTHERN",ESOX LUCIUS
0192,ARGENTINES (NS),ARGENTINIDAE
0193,"ARGENTINE,ATLANTIC",ARGENTINA SILUS
0194,"ARGENTINE,STRIATED",ARGENTINA STRIATA
0195,"ARGENTINE,LARGE EYED",NANSENIA GROENLANDICA
0196,"ARGENTINE, PYGMY",GLOSSONADON PYGMAEUS
0199,"SMELTS, DEEPSEA (NS)",BATHYLAGIDAE
0200,BLACKSMELTS (NS),BATHYLAGUS  SP.
0201,BLACKSMELT (NCN),BATHYLAGUS BENEDICTI
0202,"BLACKSMELT,GOITRE",BATHYLAGUS EURYOPS
0205,LIGHTFISHES (NS),GONOSTOMIDAE
0206,ANGLEMOUTHS (NS),CYCLOTHONE  SP.
0207,"ANGLEMOUTH,BRAUER'S",CYCLOTHONE BRAUERI
